职位,学历,经验,公司,"城市,",区域,商圈,技能列表,福利列表
Python开发工程师,本科,1-3年,华为,南京,雨花台区,安德门,"['Python', 'Django', 'Oracle', 'HBase', '分布式经验', 'Linux开发/部署经验', '985、211、双一流']","['股票期权', '员工旅游', '法定节假日三薪', '加班补助', '团建聚餐', '零食下午茶', '节假日加班费', '定期体检', '补充医疗保险', '保底工资', '节日福利', '带薪年假', '企业年金', '免费班车', '五险一金', '绩效奖金', '意外险', '夜班补助', '交通补助', '年终奖']"
python开发工程师,本科,经验不限,汇智互娱,南京,雨花台区,铁心桥,"['Golang', '机器学习经验', 'K8S', 'AI', '有前端经验/技能', 'Docker', 'MySQL', '人工智能', '云计算经验', 'AIGC', 'Python', 'Kubernetes', 'TensorFlow']","['定期体检', '节日福利', '通讯补贴', '零食下午茶', '餐补', '员工旅游', '交通补助', '年终奖', '带薪年假']"
Python工程师,本科,1-3年,迎嘉科技,南京,鼓楼区,南大,"['数据开发', '爬虫', 'Python', '计算机相关专业', '爬虫经验']","['定期体检', '加班补助', '年终奖', '通讯补贴', '全勤奖', '五险一金', '节日福利', '交通补助', '带薪年假', '员工旅游', '餐补']"
高级python开发工程师,本科,经验不限,南京阿尔特科技,南京,建邺区,建邺万达,"['Golang', '爬虫经验', '微服务经验', 'Django', 'MySQL', 'Redis', 'MongoDB', 'Linux开发/部署经验', 'Python']","['餐补', '生日福利', '五险一金', '绩效奖金', '全勤奖', '年终奖', '股票期权', '零食下午茶']"
Python图像开发工程师,本科,经验不限,畅淼,南京,江宁区,将军大道,"['YOLO', 'Python']","['团建聚餐', '员工旅游', '股票期权', '带薪年假', '交通补助', '年终奖', '员工活动中心', '五险一金', '餐补', '节日福利', '定期体检']"
Python工程师,本科,1-3年,帝岩,南京,建邺区,奥体,"['数据开发', '爬虫', 'Python']",[]
Python开发工程师-谱图数据分析,本科,3-5年,南京霍普斯,南京,浦口区,泰山,"['sqlite', 'Pandas', 'MySQL', 'Numpy', 'Python']","['年终奖', '交通补助', '五险一金', '带薪年假', '通讯补贴', '定期体检', '员工旅游', '住房补贴', '餐补', '节日福利', '高温补贴']"
python开发工程师,本科,3-5年,钛科圈,南京,江宁区,秣陵,"['网络编程', 'Python', 'IoT']","['交通补助', '定期体检', '年终奖', '通讯补贴', '五险一金', '员工生日会', '节日福利', '带薪年假']"
Python后端工程师（数据监控平台）,本科,1-3年,南京千能智能科技,南京,,,"['Java', '服务器配置', '架构师', 'Django', 'Framework', '云计算', '管理系统']","['免费班车', '餐补', '员工旅游', '加班补助', '全勤奖']"
python开发,本科,3-5年,睿服科技,南京,雨花台区,铁心桥,"['Elasticsearch', 'MySQL', 'Redis', 'Python']","['定期体检', '五险一金', '带薪年假', '年终奖', '节日福利']"
Python开发,本科,3-5年,锦云智开,南京,雨花台区,铁心桥,"['Python', 'Django', 'Flask', 'Tornado', 'Kafka', 'MySQL', 'PostgreSQL', 'MongoDB', 'Redis', 'Linux开发/部署经验', '爬虫经验']","['员工旅游', '年终奖', '节日福利', '定期体检', '带薪年假', '五险一金', '零食下午茶', '加班补助', '餐补']"
Python开发工程师,本科,1-3年,新动态,南京,玄武区,徐庄软件园,"['Python', 'Linux', 'MySQL', 'Redis', 'Django', 'Flask', 'Tornado']","['年终奖', '股票期权', '员工旅游', '节日福利', '五险一金', '带薪年假', '餐补', '零食下午茶', '定期体检']"
Python开发(需懂C++),本科,3-5年,南京来可,南京,江宁区,科学园,"['Python', 'C++', '有大模型AI开发经验']","['生日福利', '节日福利', '五险一金', '团建聚餐', '年终奖', '员工旅游', '带薪年假', '全勤奖', '绩效奖金', '零食下午茶', '定期体检', '通讯补贴']"
python全栈开发工程师,大专,3-5年,江苏宁源智能科技,南京,雨花台区,铁心桥,"['团队管理经验', 'Django', 'MySQL', '运维开发经验', 'Redis', 'Tornado', '架构设计经验', 'Linux开发/部署经验', 'Numpy', 'Python', 'Flask']",[]
Python编程老师,本科,经验不限,蜘蛛侠,南京,鼓楼区,南大,"['少儿编程', 'python', '小学']","['员工旅游', '带薪年假', '交通补助', '五险一金', '加班补助', '团建聚餐', '全勤奖', '年终奖', '补充医疗保险', '餐补']"
python工程师,本科,3-5年,创数,南京,雨花台区,宁南,"['Oracle', 'Flask', 'PYSide2', 'PYQT']",[]
Python,本科,3-5年,某500强上市公司,南京,,,"['后端', '数据开发', 'Python', 'Django', '计算机相关专业']","['企业年金', '法定节假日三薪', '五险一金', '团建聚餐', '零食下午茶', '节假日加班费', '意外险', '绩效奖金', '带薪年假', '交通补助', '节日福利', '员工旅游', '加班补助', '保底工资', '股票期权', '定期体检', '免费班车', '夜班补助', '年终奖', '补充医疗保险']"
python开发工程师,本科,1-3年,家康众智,南京,江宁区,南京南站,"['机器学习/算法工程', '后端', 'Python', '计算机相关专业', '机器学习工程经验']","['五险一金', '股票期权', '零食下午茶', '年终奖', '员工旅游', '带薪年假']"
python开发工程师,本科,3-5年,中电汇通,南京,鼓楼区,山西路,"['Python', 'MySQL', '爬虫经验', '机器学习经验']","['绩效奖金', '定期体检', '带薪年假', '生日福利', '五险一金', '员工旅游', '团建聚餐', '节日福利']"
Python,本科,1-3年,天信通,南京,,,"['后端', '爬虫', 'Python', 'MySQL', 'MongoDB', '计算机相关专业']","['带薪年假', '有无线网', '夜班补助', '餐补', '五险一金', '节日福利']"
python开发工程师,本科,3-5年,上海万得基金,南京,建邺区,江东,"['Python', 'Scrapy', 'MySQL', 'Oracle']","['五险一金', '定期体检', '补充医疗保险', '绩效奖金', '带薪年假', '有无线网', '生日福利', '底薪加提成', '万得终端', '保底工资']"
python开发工程师,本科,3-5年,东揽,南京,江宁区,百家湖,"['python', 'Linux', '服务端开发经验', '全栈开发经验', '软件工程师', '计算机相关专业', '后端', '运维开发', 'Python', 'Flask', 'SQL', '图形图像处理']","['股票期权', '节日福利', '带薪年假', '五险一金', '员工旅游', '年终奖', '交通补助', '零食下午茶']"
Python,本科,5-10年,南京农行者数字,南京,雨花台区,铁心桥,"['NoSQL', 'Linux', 'Django', 'MySQL', '微服务架构', 'Redis', '后端', '计算机相关专业', 'Python', 'Flask']","['五险一金', '定期体检', '年终奖', '股票期权']"
python开发工程师,本科,1-3年,南京伊凡,南京,建邺区,奥体,"['Python', 'PyTorch', '计算机相关专业', '机器学习工程经验']",[]
Python,本科,1年以内,东方价值线,南京,浦口区,沿江,"['Python', '数据挖掘', '机器学习']",[]
python数据工程师,本科,1-3年,复保科技,南京,江宁区,南京南站,"['Python', 'Numpy', 'Pandas', 'MySQL', 're', 'matplotlib']","['五险一金', '绩效奖金', '底薪加提成', '定期体检', '年终奖']"
python自动化,本科,1-3年,伊克罗德,南京,雨花台区,安德门,"['团队管理经验', 'Pandas', 'MySQL', 'Hadoop', '云计算经验', 'Python']","['五险一金', '带薪年假', '零食下午茶']"
高级python开发工程师,本科,3-5年,溪水网络科技有限公司,南京,建邺区,奥体,"['Python', 'Oracle']","['五险一金', '带薪年假', '节日福利', '零食下午茶']"
Python开发工程师 (MJ000124),本科,5-10年,保旺达软件,南京,建邺区,江东,"['Django', 'MySQL', 'Oracle', 'Linux开发/部署经验', 'Python', 'Flask']","['节日福利', '五险一金', '团建聚餐', '定期培训', '带薪年假', '定期体检', '生日福利', '婚育礼金', '绩效奖励', '员工旅游']"
Python,本科,经验不限,干支网络,南京,秦淮区,淮海路,"['Python', '后端开发', 'Java']",['五险一金']
后端开发工程师（java\python),本科,3-5年,瞬联科技,南京,江宁区,科学园,"['Java', 'PostgreSQL', 'SpringCloud', 'MySQL', 'Python']","['意外险', '补充医疗保险', '带薪年假', '定期体检', '节日福利', '零食下午茶', '五险一金']"
python高级开发工程师,大专,3-5年,迈煜创信息科技,南京,浦口区,沿江,"['PyTorch', 'MySQL', 'Python']",[]
python开发工程师,本科,1-3年,上扬软件,南京,江宁区,开发区,"['PyTorch', 'MySQL', 'Oracle', '文件解析', '数据处理', 'Python']","['生日福利', '补充医疗保险', '团建旅游', '通讯补贴', '年终奖', '餐补', '五险一金', '带薪病假', '带薪年假']"
Python大模型应用服务开发工程师 Python,硕士,3-5年,南京易桥,南京,鼓楼区,万达广场,"['vllm', 'postgresql', 'MySQL', 'transformer', 'ollama', 'Linux开发/部署经验', 'Python', 'docker']",['五险一金']
Python开发工程师,本科,3-5年,新大陆软件,南京,建邺区,奥体,"['机器学习经验', 'Python']","['年终奖', '定期体检', '五险一金', '带薪年假', '通讯补贴', '免费班车', '员工旅游']"
python高级开发工程师,大专,3-5年,南京育权智能科技,南京,玄武区,徐庄软件园,"['Nginx', '团队管理经验', 'MySQL', 'Python']",[]
Python开发工程师,大专,1-3年,大物移云,南京,秦淮区,月牙湖,"['Python', '后端开发', 'MySQL', 'Oracle', 'Tornado', 'GIT']",[]
Python讲师,本科,经验不限,乐博乐博机器人,南京,鼓楼区,龙江,['Python'],"['年终奖', '住宿', '五险一金', '员工旅游', '节日福利', '股票期权', '带薪年假']"
Python后端开发工程师,本科,3-5年,苗米科技,南京,,,"['数据结构', '容器技术', 'MySQL', 'Flask', '软件工程师', 'Python']","['年终奖', '加班补助', '带薪年假', '节日福利', '五险一金', '零食下午茶', '股票期权']"
python后台开发实习生,硕士,,同方威视,南京,建邺区,中胜,"['后端', '爬虫', 'Python', 'Django', 'MySQL', '计算机相关专业']",[]
Python工程师,本科,1-3年,南京佳泰得投资管理,南京,雨花台区,铁心桥,"['Python', '数据挖掘', '网络爬虫']",[]
高级Python开发工程师,本科,3-5年,新智云,南京,江宁区,岔路口,"['Flask', 'pytorch', 'gpu虚拟化', 'k8s']","['带薪年假', '加班补助', '五险一金', '节日福利', '餐补', '定期体检', '年终奖', '交通补助', '通讯补贴', '补充医疗保险']"
python高级开发工程师,本科,5-10年,苏胜天,南京,雨花台区,安德门,"['Java', 'Docker', 'Redis', '机器学习经验', '大模型', 'Prompt', '提示词']","['带薪年假', '零食下午茶', '团建聚餐', '节日福利', '定期体检', '年终奖', '加班补助', '夜班补助', '奖金', '五险一金']"
Python,硕士,经验不限,南京骁宸能源科技,南京,江宁区,开发区,"['Python', 'Django', 'Flask', 'MySQL', 'Oracle', '团队管理经验']","['节日福利', '五险一金', '带薪年假', '生日福利']"
Python,本科,3-5年,高云科技,南京,秦淮区,新街口,"['Java', '分布式技术', '微服务架构', 'MySQL', 'Redis', 'Linux', 'Django', 'Flask']","['五险一金', '年终奖', '股票期权', '员工旅游']"
python高级开发工程师,本科,3-5年,南京拂晓信息技术,南京,,,"['后端', '机器学习/算法工程', 'Python']","['年终奖', '五险一金']"
Python工程师,本科,1-3年,北京趋享智能科技...,南京,秦淮区,夫子庙,"['Python', '数据分析', '人工智能', 'Python算法工程师', 'Python工程师', '数据挖掘']","['股票期权', '员工旅游', '包吃', '带薪年假', '餐补', '年终奖', '交通补助', '五险一金']"
python高级开发工程师,硕士,1-3年,小嘟漫道,南京,建邺区,江东,"['机器学习/算法工程', 'Python', '计算机相关专业', '机器学习工程经验']","['五险一金', '年终奖', '保底工资', '底薪加提成', '工龄奖']"
Python开发工程师（AIoT/音视频方向）,本科,经验不限,博流智能,南京,浦口区,江浦,"['Python', '工具']","['节日福利', '年终奖', '股票期权']"
线上青少儿Python兼职授课老师,本科,1-3年,南京三宝教育,南京,栖霞区,新港开发区,"['Python', '在线授课', '编程老师', '少儿编程', 'scratch']","['五险一金', '住房补贴', '提供宿舍', '员工旅游', '股票期权', '加班补助', '交通补助', '餐补']"
python开发工程师（AI应用）,本科,3-5年,道通科技,南京,雨花台区,宁南,"['Python', 'Docker', 'Redis']","['带薪年假', '住房补贴', '股票期权', '包吃', '交通补助', '餐补', '全勤奖', '多元化激励', '节日福利', '通讯补贴', '零食下午茶', '年终奖', '员工旅游', '高温补贴']"
python工程师,本科,3-5年,江苏铂亿,南京,江宁区,开发区,"['Python', '人工智能', '大数据开发']",[]
软件测试工程师(Python),本科,1-3年,宁橡新能源汽车电子,南京,江宁区,南京南站,"['Python', '汽车电子']","['通讯补贴', '零食下午茶', '五险一金', '员工旅游', '生日福利', '加班补助', '定期体检', '交通补助', '年终奖', '带薪年假', '餐补', '工龄奖', '节日福利', '股票期权', '节假日加班费']"
python工程师,本科,3-5年,图德,南京,江宁区,岔路口,"['后端', '数据开发', '机器学习/算法工程', 'Python', 'Shell', '计算机相关专业', '数学/统计相关专业', '机器学习工程经验']","['节日福利', '加班补助', '带薪年假', '餐补', '员工旅游', '年终奖', '股票期权', '定期体检', '零食下午茶', '绩效奖金', '团建聚餐', '五险一金']"
中级python开发工程师,本科,5-10年,Xptah,南京,江宁区,东善桥,"['C', 'MySQL', 'Tornado', 'Python']",[]
华为云-Python工程师（非OD）,本科,3-5年,华为,南京,雨花台区,南京南站,['Python'],"['法定节假日三薪', '加班补助', '股票期权', '意外险', '带薪年假', '免费班车', '企业年金', '交通补助', '定期体检', '绩效奖金', '节日福利', '员工旅游', '年终奖', '补充医疗保险', '夜班补助', '零食下午茶', '节假日加班费', '团建聚餐', '保底工资', '五险一金']"
Python开发工程师,本科,3-5年,唐恩,南京,栖霞区,仙林大学城,"['Java', 'SQL', '数据结构', '容器技术', 'Linux', 'Django', 'Tornado', 'GIT']","['五险一金', '定期体检', '加班补助', '带薪年假', '节日福利', '住房补贴', '零食下午茶', '年终奖']"
Python讲师,大专,1-3年,江苏万和,南京,鼓楼区,湖南路,"['网络爬虫技术', 'Django', 'Scrapy', 'GIT', '高级软件工程师', '微服务架构']","['定期体检', '带薪年假', '年终奖', '交通补助', '员工旅游', '五险一金', '餐补', '节日福利']"
Python工程师,本科,1-3年,龙影互娱,南京,建邺区,奥体,"['MySQL', 'Django', 'GIT', '网络编程', '算法基础']","['五险一金', '定期体检', '年终奖', '带薪年假']"
Python AI应用开发工程师,本科,1年以内,悦道网络科技,南京,雨花台区,安德门,"['Python', 'Flask', 'Nginx', 'Docker', 'PostgreSQL', 'MySQL', 'Redis', 'Linux开发/部署经验']","['五险一金', '零食下午茶', '年终奖', '包吃', '节日福利', '生日福利', '带薪年假', '定期体检', '团建聚餐']"
python工程师,本科,经验不限,南京诺飞尔信息科技,南京,秦淮区,大光路,"['初级算法工程师', 'Python']","['生日福利', '节日福利', '绩效奖金', '五险一金']"
JAVA/JS/Python/C/C++/Android/测试/数据,本科,经验不限,华为技术武研所,南京,雨花台区,安德门,"['Java', 'C', 'C++', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', 'Oracle']","['节日福利', '定期体检', '五险一金', '团建聚餐', '加班补助', '绩效奖金', '保底工资', '年终奖', '带薪年假', '员工旅游']"
Java和Python开发工程师,本科,3-5年,宇博信诚,南京,建邺区,江东,"['Java', 'Python', 'Spring', 'Oracle']","['年终奖', '定期体检', '五险一金', '节日福利', '全勤奖', '员工旅游', '带薪年假']"
高级python开发工程师,硕士,1-3年,德万信安,南京,鼓楼区,山西路,"['Python', 'Java', 'Django', 'Docker', 'MySQL']",[]
Python开发工程师,本科,3-5年,HyperAI,南京,鼓楼区,华侨路,"['Linux', '机器学习/算法工程', 'PostgreSQL', '分布式技术', '多线程', '微服务架构', '软件工程师', '计算机相关专业', '后端', '容器技术', 'Python', 'Flask']",[]
python开发工程师,本科,3-5年,合肥阳光零碳技术,南京,,,"['Python', 'MySQL', '爬虫经验', '机器学习经验']",[]
后端开发工程师（Java or Python）,本科,3-5年,某知名企业,南京,,,"['Java', 'Python', 'SpringCloud', 'MySQL']","['五险一金', '节日福利', '定期体检', '全勤奖', '带薪年假', '年终奖', '免费班车', '包吃', '补充医疗保险']"
后端开发工程师Java python方向,本科,5-10年,沃得生涯,南京,鼓楼区,龙江,"['Python', 'Django', 'Scrapy', 'MySQL', 'Redis']","['五险一金', '带薪年假', '员工旅游', '餐补', '通讯补贴', '交通补助']"
软件开发工程师（JAVA/Python/C++）,本科,1-3年,华为技术有限公司,南京,雨花台区,南京南站,"['Java', 'Python', '分布式技术', '服务器配置', '微服务架构', 'Linux', 'Spring', 'MVC开发']","['节假日加班费', '法定节假日三薪', '定期体检', '节日福利', '绩效奖金', '五险一金', '员工旅游', '保底工资', '零食下午茶', '免费班车', '生日福利', '带薪年假', '年终奖', '团建聚餐', '股票期权', '加班补助', '交通补助', '补充医疗保险', '夜班补助', '离职补偿']"
大数据开发(运维_Java_Python_C++_Sql_JS),本科,1-3年,华为,南京,雨花台区,小行,"['Java', '计算机软件', '大数据', '云计算', '分布式技术', 'JavaScript', 'SQL', 'HTML', 'CSS', 'Scala', 'Spring', 'JQuery']","['交通补助', '股票期权', '节假日加班费', '零食下午茶', '团建聚餐', '节日福利', '补充医疗保险', '法定节假日三薪', '免费班车', '定期体检', '加班补助', '意外险', '夜班补助', '企业年金', '绩效奖金', '五险一金', '员工旅游', '保底工资', '带薪年假', '年终奖']"
python开发工程师,大专,3-5年,上海思芮,南京,雨花台区,安德门,"['Django', 'MySQL', 'Python']","['补充医疗保险', '五险一金']"
python开发(算法）-国睿,大专,3-5年,雀翼科技,南京,江宁区,百家湖,"['Python', 'Django', 'Numpy', 'PyTorch', 'MySQL']","['五险一金', '加班补助', '带薪年假', '餐补', '节日福利', '零食下午茶']"
python开发工程师,本科,1-3年,优泰科技,南京,建邺区,江东,"['爬虫经验', 'Pandas', 'MySQL', 'MongoDB', 'Numpy', 'Python']","['双休', '员工旅游', '年终奖', '带薪年假', '餐补', '五险一金', '节日福利', '零食下午茶', '交通补助']"
Python-统招本科-wb6wwa,大专,3-5年,版石控股集团有限公司,南京,江宁区,麒麟镇,"['fastapi', 'Django', 'MySQL', 'Redis', 'MongoDB', 'Python', 'Flask', 'Kubernetes']","['全勤奖', '保底工资', '年终奖', '有无线网', '生日福利', '意外险', '节日福利', '工龄奖', '底薪加提成', '五险一金', '团建聚餐', '带薪年假', '免费班车', '交通补助', '绩效奖金']"
python安全开发工程师,大专,经验不限,绿和,南京,雨花台区,安德门,"['Django', 'MySQL', '渗透测试', 'Python', 'Flask']","['定期体检', '团建聚餐', '五险一金', '加班补助', '年终奖', '生日福利', '节日福利', '带薪年假', '零食下午茶']"
央企正编-Python工程师,本科,1-3年,北京某大型互联网金融上市公司,南京,,,"['Python', 'Numpy', 'Pandas', 'Flask', 'Django', 'MySQL', 'Oracle', 'HBase', 'Linux开发/部署经验']","['有无线网', '员工旅游', '节日福利', '团建聚餐', '年终奖', '零食下午茶', '通讯补贴', '带薪年假', '补充医疗保险', '保底工资', '生日福利', '意外险', '绩效奖金', '交通补助', '全勤奖', '底薪加提成']"
高薪诚聘Python开发非外派双休电话面试,本科,3-5年,软通动力,南京,江宁区,东山,"['爬虫经验', 'PyTorch', 'Pandas', 'Hadoop', 'Spark', '量化交易开发经验', 'Python', 'Flask', 'TensorFlow']","['带薪年假', '节日福利', '通讯补贴', '交通补助', '生日福利', '免费班车', '零食下午茶', '五险一金', '加班补助', '定期体检', '团建活动', '补充医疗保险']"
软件测试工程师（自动化，python）,本科,经验不限,华为,南京,雨花台区,安德门,"['Golang', 'Java', 'Django', 'MySQL', '运维开发经验', 'Redis', 'Tornado', '架构设计经验', 'Oracle', 'Linux开发/部署经验', 'Python', 'Flask']","['绩效奖金', '股票期权', '团建聚餐', '加班补助', '员工旅游', '保底工资', '带薪年假', '法定节假日三薪', '节日福利', '定期体检', '年终奖', '零食下午茶', '节假日加班费', '意外险', '五险一金', '夜班补助', '免费班车', '补充医疗保险', '企业年金', '交通补助']"
Java/Python/C++/C/Go开发、测试、运维,本科,经验不限,华为技术有限公司,南京,雨花台区,安德门,"['Java', 'C++', 'Python', 'Spring', 'MyBatis', 'JVM', 'MySQL', 'Hive', 'SQL Server', '不接受居家办公', '架构设计经验', '云计算经验', '物联网经验']","['团建聚餐', '离职补偿', '带薪年假', '免费班车', '法定节假日三薪', '五险一金', '股票期权', '补充医疗保险', '定期体检', '加班补助', '夜班补助', '节假日加班费', '零食下午茶', '保底工资', '交通补助', '员工旅游', '绩效奖金', '节日福利', '年终奖', '生日福利']"
python开发,本科,3-5年,华通科技,南京,雨花台区,安德门,"['爬虫经验', 'Docker', 'Django', 'MySQL', '运维开发经验', '云计算经验', 'Linux开发/部署经验', 'Python']","['五险一金', '交通补助', '带薪年假', '餐补', '免费班车', '节日福利']"
python工程师(线上、远程兼职),大专,经验不限,带新娱乐,南京,栖霞区,仙林大学城,"['Python', 'Django', 'Scrapy', 'Pandas', 'MySQL', 'Spark', 'Hive']","['底薪加提成', '全勤奖', '五险一金', '保底工资', '定期体检', '团建聚餐', '绩效奖金', '员工旅游', '带薪年假', '有无线网', '节日福利', '年终奖', '零食下午茶']"
python算法开发技术员,本科,,南京腾思网络科技,南京,浦口区,江浦,"['Python', 'PyTorch', 'TensorFlow', 'MySQL', '机器学习经验']","['底薪加提成', '节日福利', '有无线网', '零食下午茶', '五险一金', '定期体检', '餐补', '绩效奖金', '高温补贴']"
Python开发工程师 实习生,本科,,边缘智能研究院,南京,,,"['网络爬虫技术', 'Django', 'Flask', 'Scrapy', 'Pyspider']","['加班补助', '定期体检', '带薪年假', '节日福利', '包吃', '五险一金']"
Python开发3-5年南京现场面试,大专,3-5年,南京博锐星润软件,南京,鼓楼区,山西路,"['Python', 'Scrapy', '分布式经验', 'scapy框架']",[]
C/C++/java/python/web/算法/测试,本科,经验不限,西安华为技术有限公司,南京,雨花台区,安德门,"['Java', 'C++', 'C', 'Scrapy', 'Tornado', 'Flask', 'MySQL', 'Redis', 'Oracle']","['团建聚餐', '五险一金', '加班补助', '定期体检', '零食下午茶', '包吃', '全勤奖', '年终奖', '餐补', '绩效奖金', '交通补助']"
python后端工程师,本科,在校/应届,南京玻尔兹曼信息科技,南京,浦口区,江浦,"['Scrapy', '爬虫经验', 'PyTorch', '机器学习经验', 'Redis', '架构设计经验', 'Python', 'Flask', 'HBase']","['夜班补助', '年终奖', '加班补助', '五险一金', '绩效奖金', '股票期权']"
Python,本科,经验不限,华为终端有限公司,南京,雨花台区,安德门,"['Python', 'Django', 'MySQL', 'Redis', 'Oracle', '分布式经验', '微服务经验']","['五险一金', '节日福利', '加班补助', '通讯补贴', '带薪年假', '交通补助', '年终奖', '免费班车', '意外险', '零食下午茶', '定期体检', '生日福利', '股票期权', '住房补贴', '补充医疗保险', '节假日加班费']"
Python,本科,3-5年,深圳微蚂蚁,南京,浦口区,泰山,"['深度学习', '大模型算法', '模型加速/性能优化', 'Python']","['团建聚餐', '交通补助', '零食下午茶', '生日福利', '餐补', '节日福利', '五险一金']"
Python（13薪+全额公积金+双休）,大专,3-5年,中软国际科技,南京,雨花台区,铁心桥,"['C++', '爬虫经验', 'PyTorch', 'MySQL', 'python开发', 'Python']","['五险一金', '定期体检', '加班补助']"
